scenario_name,architecture,evaluation_seed,inflation_component,output_component,rate_change_component,total_loss
macro_core_moderate_gap,belief,900,1.6863345603086647e-05,0.0007237571183305659,4.020363239192419e-08,0.0007406606675660445
macro_core_moderate_gap,belief,901,9.839301397627125e-05,0.003027884910058686,1.795959561771862e-07,0.0031264575199911344
macro_core_moderate_gap,belief,902,0.00025908681275182635,0.008032988575552737,3.141995001768526e-07,0.00829238958780474
macro_core_moderate_gap,belief,903,2.7459714072199332e-05,0.0011361693946675786,1.2858777127423108e-07,0.001163757696511052
macro_core_moderate_gap,belief,904,1.964461732019676e-05,0.0009095448171938193,8.216060426362177e-08,0.0009292715951182797
macro_core_moderate_gap,belief,905,6.655956947206022e-05,0.002203911050777267,2.2132198043799818e-07,0.002270691942229765
macro_core_moderate_gap,belief,906,7.503775245670467e-05,0.0025728595534115105,2.097135647573266e-07,0.0026481070194329724
macro_core_moderate_gap,belief,907,2.243211934792333e-05,0.0008618916636552409,1.0065356109322386e-07,0.0008844244365642575
macro_core_moderate_gap,belief,908,2.9229710339151202e-05,0.0009139609885453633,1.0722895457110697e-07,0.0009432979278390856
macro_core_moderate_gap,belief,909,3.127333644722713e-05,0.0009635443467162548,1.3594787845269305e-07,0.0009949536310419344
macro_core_moderate_gap,fixed,900,6.985550381879215e-05,0.00286237829110415,2.442233622061827e-07,0.002932478018285148
macro_core_moderate_gap,fixed,901,0.00035501070515319485,0.010677850608224154,3.181350733950753e-07,0.011033179448450744
macro_core_moderate_gap,fixed,902,0.00043535674879554437,0.01423794649710479,3.485036723695635e-07,0.014673651749572704
macro_core_moderate_gap,fixed,903,4.0803378906793544e-05,0.001615091695662794,3.9595135166371307e-07,0.0016562910259212513
macro_core_moderate_gap,fixed,904,6.24046274884027e-05,0.002875745489478203,2.4277913220956694e-07,0.002938392896098815
macro_core_moderate_gap,fixed,905,0.00033291129042988915,0.010144261004486354,6.195218304101783e-07,0.010477791816746653
macro_core_moderate_gap,fixed,906,0.00033493937919654274,0.010151645730543665,7.739640760032512e-07,0.010487359073816212
